"No.","HS Code","HS Description","Suppl. Unit","Special Permission","Duty Tax Rate","Excise Tax Rate","VAT Rate","Sur Tax Rate","With Hold Rate","Second Schedule 1","Second Schedule 2","Export Duty Tax Rate"
"74.0","02064100","Frozen swine livers","","MOH","30","0","15","10","3","0","0","0"
"75.0","02064900","Frozen edible swine offal (excl. livers)","","MOH","30","0","15","10","3","0","0","0"
"76.0","02068000","Fresh or chilled edible offal of sheep, goats, horses...","","MOH","30","0","15","10","3","0","0","0"
"77.0","02069000","Frozen edible offal of sheep, goats, horses...","","MOH","30","0","15","10","3","0","0","0"
"78.0","02071100","Fresh or chilled whole chickens","","MOH","30","0","15","10","3","0","0","0"
"79.0","02071200","Frozen whole chickens","","MOH","30","0","15","10","3","0","0","0"
"80.0","02071300","Fresh or chilled cuts and offal of chickens","","MOH","30","0","15","10","3","0","0","0"
"81.0","02071400","Frozen cuts and offal of chicken","","MOH","30","0","15","10","3","0","0","0"
"82.0","02072400","Fresh or chilled whole turkeys","","MOH","30","0","15","10","3","0","0","0"
"83.0","02072500","Frozen whole turkeys","","MOH","30","0","15","10","3","0","0","0"
"84.0","02072600","Fresh or chilled cuts and offal of turkeys","","MOH","30","0","15","10","3","0","0","0"
"85.0","02072700","Frozen cuts and offal of turkeys","","MOH","30","0","15","10","3","0","0","0"
"86.0","02073200","Fresh or chilled whole ducks, geese or guinea fowls","","MOH","30","0","15","10","3","0","0","0"
"87.0","02073300","Frozen whole ducks, geese or guinea fowls","","MOH","30","0","15","10","3","0","0","0"
"88.0","02073400","Fresh or chilled fatty livers of ducks, geese or guinea fowls","","MOH","30","0","15","10","3","0","0","0"
"89.0","02073500","FRESH/CHILLED CUTS & OFFAL OF DUCKS/GEESE/GUINEA FOWLS (EXCL.FATTY LIVERS)","","MOH","30","0","15","10","3","0","0","0"
"90.0","02073600","Frozen cuts and offal of ducks, geese or guinea fowls","","MOH","30","0","15","10","3","0","0","0"
"91.0","02074100","--NOT CUT IN PIECES, FRESH OR CHILLED","","MOH","30","0","15","10","3","0","0","0"
"92.0","02074200","--NOT CUT IN PIECES,FROZEN","","MOH","30","0","15","10","3","0","0","0"
"93.0","02074300","--FATTY LIVERS, FRESH OR CHILLED","","MOH","30","0","15","10","3","0","0","0"
"94.0","02074400","--OTHER,FRESH OR CHILLED","","","30","0","15","10","3","0","0","0"
"95.0","02074500","--OTHER,FROZEN","","MOH","30","0","15","10","3","0","0","0"
"96.0","02075100","--NOT CUT IN PIECES, FRESH OR CHILLED","","MOH","30","0","15","10","3","0","0","0"
"97.0","02075200","--NOT CUT IN PIECES,FROZEN","","MOH","30","0","15","10","3","0","0","0"
"98.0","02075300","--FATTY LIVERS, FRESH OR CHILLED","","MOH","30","0","15","10","3","0","0","0"
"99.0","02075400","--OTHER,FRESH OR CHILLED","","MOH","30","0","15","10","3","0","0","0"
"100.0","02075500","--OTHER,FROZEN","","MOH","30","0","15","10","3","0","0","0"
"101.0","02076000","-OF GUINEA FOWLS","","MOH","30","0","15","10","3","0","0","0"
"102.0","02081000","Fresh, chilled or frozen meat and edible offal of rabbits or hares","","MOH","30","0","15","10","3","0","0","0"
"103.0","02083000","OTHER MEAT AND EDIBLE MEAT OFFAL, FRESH ,CHILLED OR FROZEN ...OF PRIMATES","","MOH","30","0","15","10","3","0","0","0"
"104.0","02084000","-OF WHALES,DOLPHINS & PORPOISES(ORD. CETECCA);MANATEES & DUGONGS(ORD. SIRENIA);SEALS &..","","MOH","30","0","15","10","3","0","0","0"
"105.0","02085000","OTHER MEAT AND EDIBLE MEAT OFFAL,FRESH,CHILLED OR FROZEN...OF REPTILES","","MOH","30","0","15","10","3","0","0","0"
"106.0","02086000","-OF CAMELS & OTHER CAMELIDS (CAMELIDAE)","","MOH","30","0","15","10","3","0","0","0"
"107.0","02089000","Fresh, chilled or frozen meat and edible offal, nes","","MOH","30","0","15","10","3","0","0","0"
"108.0","02090000","PIG AND POULTRY FAT,NOT RENDERED/EXTRACTED,FRESH/CHILLD/FROZN/SALTD/SMOKED","","MOH","30","0","15","10","3","0","0","0"
"109.0","02091000","-OF PIGS","","MOH","30","0","15","10","3","0","0","0"
"110.0","02099000","-OTHER","","MOH","30","0","15","10","3","0","0","0"
"111.0","02101100","Unboned swine hams, shoulders and cuts thereof, salted... or smoked","","MOH","30","0","15","10","3","0","0","0"
"112.0","02101200","Bellies and cuts thereof of swine, salted... or smoked","","MOH","30","0","15","10","3","0","0","0"
"113.0","02101900","Meat of swine, salted... or smoked, nes","","MOH","30","0","15","10","3","0","0","0"
"114.0","02102000","Meat of bovine animals, salted... or smoked","","MOH","30","0","15","10","3","0","0","0"
"115.0","02109100","OTHER MEAT INCLUDING EDIBLE FLOURS AND MEALS OF MEAT AND OFFAL...OF PRIMA","","MOH","30","0","15","10","3","0","0","0"
"116.0","02109200","--OF WHALES,DOLPHINS & PORPOISES(ORD. CETECCA);MANATEES & DUGONGS(ORD. SIRENIA);SEALS&..","","MOH","30","0","15","10","3","0","0","0"
"117.0","02109300","OTHER MEAT INCLUDING EDIBLE FLOURS AND MEALS OF MEAT...OF REPTILES","","MOH","30","0","15","10","3","0","0","0"
"118.0","02109900","OTHER MEAT INCLUDING EDIBLE FLOURS AND MEALS OF MEAT ...NES","","MOH","30","0","15","10","3","0","0","0"
"119.0","03011000","Live ornamental fish","","MOH","20","0","15","10","3","0","0","0"
"120.0","03011100","--FRESH WATER","","MOH","20","0","15","10","3","0","0","0"
"121.0","03011900","--OTHER","","MOH","20","0","15","10","3","0","0","0"
"122.0","03019100","LIVE TROUT(SALMO TRUTTA,ONC'YNC'MYKISS,CLARKI,AG'AB'TA,GILAE,APACH&CHRYSO)","","MOH","20","0","15","10","3","0","0","0"
"123.0","03019200","Live eels","","MOH","20","0","15","10","3","0","0","0"
"124.0","03019300","--carp (CYRPRINUSCARPIO, CARASSIUSCARASSIUS,CTENOPHARYNGODONIDELLUS,HYPOPHTHALMICHT)..","","MOH","20","0","15","10","3","0","0","0"
"125.0","03019400","--ATLANTIC & PACIFIC BLUEFIN TUNAS  (THUNNUSTHYNNUS,THUNNUSORIENTALIS)","","","20","0","15","10","3","0","0","0"
"126.0","03019500","--Southern Bluefin tunas(Thunnus maccoyii)","","","20","0","15","10","3","0","0","0"
"127.0","03019900","Other live fish","","MOH","20","0","15","10","3","0","0","0"
"128.0","03021100","FRESH OR CHILLED TROUT(SALMO TRUTTA,ONC'MYKSS,CL'KI,AG'B'TA,GILAE,APA,CHO)","","MOH","20","0","15","10","3","0","0","0"
"129.0","03021200","FRESH OR CHILLED PACIFIC(ONCORHYNCHUS)ATLANTIC(SALMO SALAR)&DANUBE SALMON","","MOH","20","0","15","10","3","0","0","0"
"130.0","03021300","--PACIFIC SALMON(ONCORYHYNCHUS NERKA/GORBUSCHA/KETA/TSCHAWYTSCHA/KISUTCH/MASOU/RHODURUS)","","MOH","20","0","15","10","3","0","0","0"
"131.0","03021400","--ATLANTIC SALMON (SALMO SALAR) & DANUBE SALMON (HUCHO HUCHO)","","MOH","20","0","15","10","3","0","0","0"
"132.0","03021900","Fresh or chilled salmonidae (excl. 0302.11 and 0302.12)","","MOH","20","0","15","10","3","0","0","0"
"133.0","03022100","Fresh or chilled halibut","","MOH","20","0","15","10","3","0","0","0"
"134.0","03022200","Fresh or chilled plaice","","MOH","20","0","15","10","3","0","0","0"
"135.0","03022300","Fresh or chilled sole","","MOH","20","0","15","10","3","0","0","0"
"136.0","03022400","--TURBOTS (PSETTA MAXIMA, SCOPHTALMIDAE)","","MOH","20","0","15","10","3","0","0","0"
"137.0","03022900","Fresh or chilled flat fish (excl. halibut, plaice and sole)","","MOH","20","0","15","10","3","0","0","0"
"138.0","03023100","Fresh or chilled albacore or longfinned tunas","","MOH","20","0","15","10","3","0","0","0"
"139.0","03023200","Fresh or chilled yellowfin tunas","","MOH","20","0","15","10","3","0","0","0"
"140.0","03023300","Fresh or chilled skipjack or stripe-bellied bonito","","MOH","20","0","15","10","3","0","0","0"
"141.0","03023400","FRESH OR CHILLED BIGEYE TUNAS (THUNNUS OBESUS)","","MOH","20","0","15","10","3","0","0","0"
"142.0","03023500","--ATLANTIC & PACIFIC BLUEFIN TUNAS (THUNNUS THYNNUS, THUNNUS ORIENTALS)","","MOH","20","0","15","10","3","0","0","0"
"143.0","03023600","FRESH , CHILLED SOUTHERN BLUEFIN TUNAS (THUNNUS MACCOYII)","","MOH","20","0","15","10","3","0","0","0"
"144.0","03023900","Fresh or chilled tunas, nes","","MOH","20","0","15","10","3","0","0","0"
"145.0","03024000","Fresh or chilled herrings (excl. livers and roes)","","MOH","20","0","15","10","3","0","0","0"
"146.0","03024100","--HERRINGS (CLUPEA HARENGUS, CLUPEA PALLASII)","","MOH","20","0","15","10","3","0","0","0"
"147.0","03024200","--ANCHOVIES (ENGRAULIS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"148.0","03024300","--SARDINES(SARDINA PILCHARDUS,SARDINOPS SPP.),SARDINELLA(SARDINELLA SPP.),BRISLING OR...","","MOH","20","0","15","10","3","0","0","0"
"149.0","03024400","--MACKEREL(SCOMBER SCOMBRUS,SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS)","","MOH","20","0","15","10","3","0","0","0"
"150.0","03024500","--JACK & HORSE MACKEREL (TRACHURUS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"151.0","03024600","--COBIA (RACHYCENTRON CANADUM)","","MOH","20","0","15","10","3","0","0","0"
"152.0","03024700","--SWORDFISH (XIPHIASGLADIUS)","","MOH","20","0","15","10","3","0","0","0"
"153.0","03025000","Fresh or chilled cod (excl. livers and roes)","","MOH","20","0","15","10","3","0","0","0"
"154.0","03025100","--COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)","","MOH","20","0","15","10","3","0","0","0"
"155.0","03025200","--HADDOCK (MELANOGRAMMUS AEGLEFINUS)","","MOH","20","0","15","10","3","0","0","0"
"156.0","03025300","--COALFISH (POLLACHIUSVIRENS)","","MOH","20","0","15","10","3","0","0","0"
"157.0","03025400","--HAKE (MERLUCCIUS SPP., UROPHYCIS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"158.0","03025500","--ALASKA POLLACK (THERAGA CHALCOGRAMMA)","","MOH","20","0","15","10","3","0","0","0"
"159.0","03025600","--BLUE WHITINGS (MICROMESISTIUS POUTASSOU, MICROMESISTIUS AUSTRALIS)","","MOH","20","0","15","10","3","0","0","0"
"160.0","03025900","--OTHER","","MOH","20","0","15","10","3","0","0","0"
"161.0","03026100","Fresh or chilled sardines, brisling or sparts","","MOH","20","0","15","10","3","0","0","0"
"162.0","03026200","Fresh or chilled haddock","","MOH","20","0","15","10","3","0","0","0"
"163.0","03026300","Fresh or chilled coalfish","","MOH","20","0","15","10","3","0","0","0"
"164.0","03026400","Fresh or chilled mackerel","","MOH","20","0","15","10","3","0","0","0"
"165.0","03026500","Fresh or chilled dogfish and other sharks","","MOH","20","0","15","10","3","0","0","0"
"166.0","03026600","Fresh or chilled eels","","MOH","20","0","15","10","3","0","0","0"
"167.0","03026700","--Swordfish(Xiphias gladius)","","","20","0","15","10","3","0","0","0"
"168.0","03026800","--Toothfish(Dissostichus spp)","","","20","0","15","10","3","0","0","0"
"169.0","03026900","Fresh or chilled fish, nes","","MOH","20","0","15","10","3","0","0","0"
"170.0","03027000","Fresh or chilled fish livers and roes","","MOH","20","0","15","10","3","0","0","0"
"171.0","03027100","--TILAPIAS (OREOCHROMIS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"172.0","03027200","--CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.,)","","MOH","20","0","15","10","3","0","0","0"
"173.0","03027300","--CARP (CYRPRINUSCARPIO, CARASSIUSCARASSIUS,CTENOPHARYNGODONIDELLUS,HYPOPHTHALMICHT..)","","MOH","20","0","15","10","3","0","0","0"
"174.0","03027400","--EELS (ANGUILLA SPP.)","","MOH","20","0","15","10","3","0","0","0"
"175.0","03027900","--OTHER","","MOH","20","0","15","10","3","0","0","0"
"176.0","03028100","--DOGFISH & OTHER SHARKS","","MOH","20","0","15","10","3","0","0","0"
"177.0","03028200","--RAYS & SKATES (RAJIDAE)","","MOH","20","0","15","10","3","0","0","0"
"178.0","03028300","--TOTHFISH (DISSOSTICHUS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"179.0","03028400","--SEABASS (DICENTRARCHUS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"180.0","03028500","--SEABREAM (SPARIDAE)","","MOH","20","0","15","10","3","0","0","0"
"181.0","03028900","--OTHER","","MOH","20","0","15","10","3","0","0","0"
"182.0","03029000","-LIVERS & ROES","","MOH","20","0","15","10","3","0","0","0"
"183.0","03031100","--SOCKEYE SALMON (RED SALMON) (ONCHORYNCHUS NERKA)","","MOH","20","0","15","10","3","0","0","0"
"184.0","03031200","--OTHER PACIFIC SALMON(ONCORYHYNCHUS NERKA/GORBUSCHA/KETA/TSCHAWYTSCHA/KISUTCH/MASOU/..)","","MOH","20","0","15","10","3","0","0","0"
"185.0","03031300","--ATLANTIC SALMON (SALMO SALAR) & DANUBE SALMON (HUCHO HUCH)","","MOH","20","0","15","10","3","0","0","0"
"186.0","03031400","--TROUT (SALMO TRUTTA, ONCORHYNCHUS MYKISS/CLARKI/AGUABONTA/GILAE/APACHE & CHRYSOGA..)","","MOH","20","0","15","10","3","0","0","0"
"187.0","03031900","--OTHER","","MOH","20","0","15","10","3","0","0","0"
"188.0","03032100","FROZEN TROUT (SALMO TRUTTA,ONC'M'SS,CLARKI,AG'BNTA,GILAE,APACHE&CHRYSGSTR)","","MOH","20","0","15","10","3","0","0","0"
"189.0","03032200","Frozen atlantic and danube salmon","","MOH","20","0","15","10","3","0","0","0"
"190.0","03032300","--TILAPIAS (OREOCHROMIS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"191.0","03032400","--CATFISH (PANGASIUS SPP., SILURUS SPP., CLARIAS SPP., ICTALURUS SPP.,)","","MOH","20","0","15","10","3","0","0","0"
"192.0","03032500","--CARP (CYRPRINUSCARPIO, CARASSIUSCARASSIUS,CTENOPHARYNGODONIDELLUS,HYPOPHTHALMICHT..)","","MOH","20","0","15","10","3","0","0","0"
"193.0","03032600","--EELS (ANGUILLA SPP.)","","MOH","20","0","15","10","3","0","0","0"
"194.0","03032900","--OTHER","","MOH","20","0","15","10","3","0","0","0"
"195.0","03033100","Frozen halibut","","MOH","20","0","15","10","3","0","0","0"
"196.0","03033200","Frozen plaice","","MOH","20","0","15","10","3","0","0","0"
"197.0","03033300","Frozen sole","","MOH","20","0","15","10","3","0","0","0"
"198.0","03033400","--TURBOTS (PSETTA MAXIMA, SCOPHTHALMIDAE)","","MOH","20","0","15","10","3","0","0","0"
"199.0","03033900","Frozen flat fish (excl. halibut, plaice and sole)","","MOH","20","0","15","10","3","0","0","0"
"200.0","03034100","Frozen albacore or longfinned tunas","","MOH","20","0","15","10","3","0","0","0"
"201.0","03034200","Frozen yellowfin tunas","","MOH","20","0","15","10","3","0","0","0"
"202.0","03034300","Frozen skipjack or stripe-bellied bonito","","MOH","20","0","15","10","3","0","0","0"
"203.0","03034400","FLAT FISH...FROZEN,BIGEYE TUNAS (THUNNUS OBESUS)","","MOH","20","0","15","10","3","0","0","0"
"204.0","03034500","--ATLANTIC & PACIFIC BLUEFIN TUNAS  (THUNNUS THYNNUS,THUNNUS ORIENTALIS)","","MOH","20","0","15","10","3","0","0","0"
"205.0","03034600","FLAT FISH ...FROZEN, SOUTHREN BLUEFIN TUNAS (THUNNUS MACCOYII)","","MOH","20","0","15","10","3","0","0","0"
"206.0","03034900","Frozen tunas, nes","","MOH","20","0","15","10","3","0","0","0"
"207.0","03035000","Frozen herrings (excl. livers and roes)","","MOH","10","0","15","10","3","0","0","0"
"208.0","03035100","--Herrings(Clupea harengus, Clupea Pallasii)","","","20","0","15","10","3","0","0","0"
"209.0","03035200","--Cod(Gadus morhua, Gadus ogac, Gadus macrocephalus)","","","20","0","15","10","3","0","0","0"
"210.0","03035300","--SARDINES(SARDINA PILCHARDUS,SARDINOPS SPP.),SARDINELLA(SARDINELLA SPP.),BRISLING OR...","","MOH","20","0","15","10","3","0","0","0"
"211.0","03035400","--MACKEREL(SCOMBER SCOMBRUS,SCOMBER AUSTRALASICUS, SCOMBER JAPONICUS)","","MOH","20","0","15","10","3","0","0","0"
"212.0","03035500","--JACK & HORSE MACKEREL (TRACHURUS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"213.0","03035600","--COBIA (RACHYCENTRON CANADUM)","","MOH","20","0","15","10","3","0","0","0"
"214.0","03035700","--SWORDFISH (XIPHIAS GLADIUS)","","MOH","20","0","15","10","3","0","0","0"
"215.0","03036000","Frozen cod (excl. livers and roes)","","MOH","10","0","15","10","3","0","0","0"
"216.0","03036100","Swordfish(Xiphias gladius)","","","20","0","15","10","3","0","0","0"
"217.0","03036200","Toothfish(Dissosticchus spp.)","","","20","0","15","10","3","0","0","0"
"218.0","03036300","--COD (GADUS MORHUA, GADUS OGAC, GADUS MACROCEPHALUS)","","MOH","20","0","15","10","3","0","0","0"
"219.0","03036400","--HADDOCK (MELANOGRAMMUS AEGLEFINUS)","","MOH","20","0","15","10","3","0","0","0"
"220.0","03036500","--COALFISH (POLLACHIUS VIRENS)","","MOH","20","0","15","10","3","0","0","0"
"221.0","03036600","--HAKE (MERLUCCIUS SPP., UROPHYCIS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"222.0","03036700","--ALASKA POLLACK (THERAGA CHALCOGRAMMA)","","MOH","20","0","15","10","3","0","0","0"
"223.0","03036800","--BLUE WHITINGS (MICROMESISTIUS POUTASSOU, MICROMESISTIUS AUSTRALIS)","","MOH","20","0","15","10","3","0","0","0"
"224.0","03036900","--OTHER","","MOH","20","0","15","10","3","0","0","0"
"225.0","03037100","Frozen sardines, brisling or sprats","","MOH","10","0","15","10","3","0","0","0"
"226.0","03037200","Frozen haddock","","MOH","20","0","15","10","3","0","0","0"
"227.0","03037300","Frozen coalfish","","MOH","20","0","15","10","3","0","0","0"
"228.0","03037400","Frozen mackerel","","MOH","20","0","15","10","3","0","0","0"
"229.0","03037500","Frozen dogfish and sharks","","MOH","20","0","15","10","3","0","0","0"
"230.0","03037600","Frozen eels","","MOH","20","0","15","10","3","0","0","0"
"231.0","03037700","Frozen sea-bass","","MOH","20","0","15","10","3","0","0","0"
"232.0","03037800","Frozen hake","","MOH","20","0","15","10","3","0","0","0"
"233.0","03037900","Frozen fish, nes","","MOH","20","0","15","10","3","0","0","0"
"234.0","03038000","Frozen fish livers and roes","","MOH","20","0","15","10","3","0","0","0"
"235.0","03038100","--DOGFISH & OTHER SHARKS","","MOH","20","0","15","10","3","0","0","0"
"236.0","03038200","--RAYS & SKATES (RAJIDAE)","","MOH","20","0","15","10","3","0","0","0"
"237.0","03038300","--TOTHFISH (DISSOSTICHUS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"238.0","03038400","--SEABASS (DECENTRARCHUS SPP.)","","MOH","20","0","15","10","3","0","0","0"
"239.0","03038900","--OTHER","","MOH","20","0","15","10","3","0","0","0"
"240.0","03039000","-LIVERS & ROES","","MOH","20","0","15","10","3","0","0","0"
"241.0","03041000","Fresh or chilled fish fillets","","MOH","10","0","15","10","3","0","0","0"
"242.0","03041100","Swordfish(Xiphias gladius)","","","20","0","15","10","3","0","0","0"
"243.0","03041200","--Toothfish(Dissostichus spp.)","","","20","0","15","10","3","0","0","0"
"244.0","03041900","--Other,fish fillets","","","20","0","15","10","3","0","0","0"
"245.0","03042000","Frozen fish fillets","","MOH","10","0","15","10","3","0","0","0"
"246.0","03042100","Swordfish(Xiphias gladius)","","","20","0","15","10","3","0","0","0"
"247.0","03042200","--Toothfish(Dissostichus spp.)","","","20","0","15","10","3","0","0","0"
